,ATVI,ADBE,AMD,ALXN,ALGN,GOOGL,GOOG,AMZN,AMGN,ADI,ANSS,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CDW,CERN,CHTR,CHKP,CTAS,CSCO,CTXS,CTSH,CMCSA,CPRT,COST,CSX,DXCM,DOCU,DLTR,EBAY,EA,EXC,EXPE,FB,FAST,FISV,GILD,IDXX,ILMN,INCY,INTC,INTU,ISRG,JD,KLAC,KHC,LRCX,LBTYA,LBTYK,LULU,MAR,MXIM,MELI,MCHP,MU,MSFT,MRNA,MDLZ,MNST,NTES,NFLX,NVDA,NXPI,ORLY,PCAR,PAYX,PYPL,PEP,PDD,QCOM,REGN,ROST,SGEN,SIRI,SWKS,SPLK,SBUX,SNPS,TMUS,TTWO,TSLA,TXN,TCOM,ULTA,VRSN,VRSK,VRTX,WBA,WDAY,WDC,XEL,XLNX
10,0.0,0.0,0.0,0.0,0.0,0.0,0.09165770509834091,0.12775583419454498,0.0,0.0,0.0,0.14548359786650877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05333067392430426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06453430070093634,0.0,0.0,0.057829321470646455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21485379332429608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06732189322721152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10201402754176041,0.0,0.0,0.0,0.07521885265145037,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.038156664251752376,0.0,0.0,0.0,0.09298697209878233,0.0,0.09930320684157337,0.020973123728059567,0.0,0.0,0.11567074928391405,0.0,0.0,0.0,0.05642625694118983,0.0,0.0,0.0,0.0,0.02471846219876527,0.0,0.0,0.0,0.0,0.0,0.0,0.038765856198619934,0.0,0.0,0.04368982253207287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017890850606943905,0.0,0.0,0.05014907291569772,0.0,0.0,0.04847483336938547,0.0,0.0,0.0,0.04245147418028867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04365073720540337,0.0,0.0,0.020360816750182614,0.09984766894800151,0.0,0.04489781436306675,0.0,0.0,0.024427033012227227,0.0,0.0,0.0,0.03582674033699322,0.0,0.04133184423708007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.021656149183782652,0.009717606608149201,0.0,0.0,0.08500170212021037,0.0,0.10161676670175585,0.024694746984883397,0.019500758670703878,0.013381723255902672,0.11449456575075878,0.0,0.0,0.0,0.029057376345912638,0.010548562695265397,0.007443076426273788,0.0,0.014544251835035717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039421119382954034,0.0,0.0,0.030952472532129342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02141812535423364,0.0,0.05510006302080675,0.0,0.0,0.0326550747918591,0.0,0.0,0.0,0.04151850531864645,0.0,0.01319865641115078,0.0,0.0,0.00825984575792161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016573647851454418,0.10543891425397647,0.0,0.029166743203442588,0.0,0.0,0.02207004254583073,0.0,0.0,0.0,0.0,0.0,0.04202080981974236,0.0,0.0,0.017431758361710407,0.0,0.0,0.0,0.0,0.0,0.0,0.028904339315759538,0.0,0.0,0.0,0.0,0.0,0.0,0.007171506961941477,0.0,0.0,0.0,0.021535687716617843,0.0,0.0,0.0,0.01550540082118815
40,0.008073888630264172,0.017097894135661443,0.008982423748238932,0.0,0.0,0.09070978344335123,0.0,0.09974007326801203,0.018629270891668236,0.0,0.0,0.10831736859740004,0.0,0.014836415397545,0.0,0.037643457907509725,0.00879696876641927,0.00629822126403381,0.0,0.013863897143025444,0.01103036931921858,0.01080570979696376,0.0,0.0,0.010744984152751715,0.0,0.0,0.029071329555174122,0.01634298023438346,0.0,0.02091381461808895,0.0,0.011386958118128298,0.018386959186798328,0.0,0.0,0.005364196170717119,0.0,0.0,0.0,0.0,0.05015386664973207,0.0,0.0,0.024327817272136593,0.0,0.0,0.0,0.03609499203493162,0.0,0.014107408744735157,0.0,0.0,0.005678190893453923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013115977280104245,0.10640549931937489,0.0,0.025007847284887502,0.0,0.0,0.022159106583522978,0.0,0.0,0.0,0.0,0.0,0.024611767846244442,0.0,0.0,0.010928527412356944,0.012805698548953375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017149889816829852,0.0,0.006253312442496581,0.01894504138997469,0.0,0.00554962927541524,0.0,0.019826100388041987,0.0,0.010627932331745964,0.0,0.0,0.0,0.009214430139708076
50,0.0033205150174317067,0.02185420712204232,0.0049026631954504005,0.0,0.0,0.0,0.08152424073596237,0.09849487783734047,0.01220406151670083,0.0,0.0,0.10521593573016756,0.006896386076012839,0.0,0.0,0.02505864417782738,0.004335203582719216,0.006649340926182161,0.011361124837634629,0.015283478918884985,0.016194999369872252,0.0,0.0,0.0,0.01090346824816291,0.0,0.005649977143994448,0.024550894637092868,0.01841528695899512,0.0,0.020894520365497476,0.0,0.014005706869231716,0.01620890077701837,0.0,0.0,0.0053204960741287085,0.0,0.0,0.0,0.0,0.05156633651006573,0.0,0.0,0.017313672314212984,0.0,0.007822697192957358,0.0,0.03281537785467737,0.006109777111879054,0.01088450475877851,0.00789192749144549,0.0069630019976762575,0.006357688736550557,0.0,0.0,0.0,0.00430193944073435,0.009312534790971123,0.0,0.0,0.012286077540673226,0.008470842120915152,0.10043422008191337,0.0,0.022161049311322265,0.0,0.0,0.021255044431407823,0.009283130057621505,0.0,0.0,0.0,0.018150739189948598,0.020973795164509458,0.015590040198368797,0.0,0.010047217074165756,0.009350772574882002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011420690370207065,0.0,0.00587714305037647,0.01897566637331727,0.0,0.0044956797853377955,0.012377569370749358,0.0,0.0,0.008265934985984581,0.0,0.0,0.0,0.0
60,0.003443885359348807,0.02064237824020698,0.0026347257869618044,0.0,0.0,0.08545385278279853,0.0,0.0989436624177528,0.014465828965016867,0.0,0.0,0.10214971027400524,0.0,0.0,0.007400283003687884,0.020957619039512956,0.006085539161221612,0.005973024519904717,0.0046721909739444725,0.00658887617529754,0.013702529996047845,0.0,0.0,0.0,0.00787774316713482,0.0,0.0,0.02727533764588279,0.0,0.0,0.028565736230903607,0.0,0.014929469860659446,0.010809694714751237,0.0018712687736060012,0.0,0.00649086549828791,0.011854836981407529,0.0029762277124971946,0.0,0.0050420662295070015,0.04857223561274496,0.0,0.0,0.015217559301879787,0.0,0.00695239426543471,0.0,0.03177967773610674,0.011779196084085172,0.014602149442363859,0.005127421484484907,0.005492546159045363,0.005119935138598428,0.008028974193459092,0.0,0.003627400895714493,0.0,0.0061853715300430046,0.015439284478250801,0.0025001413454584557,0.0,0.006123774316130264,0.09765928693002175,0.0,0.015101114921064982,0.0,0.0024209039054168395,0.017587800395671604,0.009934505975366905,0.0,0.007933279964176114,0.0046728974249290465,0.0,0.021535324780115578,0.015109667220092896,0.0,0.013915495444700587,0.007178702383379113,0.0,0.0,0.008094944637929136,0.0,0.0,0.01448437938601416,0.0,0.009109988251138207,0.0,0.005726553135098539,0.011243028413740584,0.0,0.004782824875963821,0.010396724348702579,0.0,0.00995715724353166,0.008315663473980703,0.0,0.0,0.0,0.007484341394819674
70,0.0022038165782137208,0.01929554387622001,0.0033061316628575734,0.0,0.0,0.08566648879324995,0.0,0.0976245393029161,0.013566621874179076,0.0,0.0,0.10289542062772215,0.006587664165618932,0.0,0.004855287963513202,0.01759950409764699,0.006760928483002113,0.0061106692564854926,0.0028507058948573443,0.012015020351710985,0.012877499071394707,0.007131079007785048,0.0,0.0,0.007991938477937334,0.0,0.002737919309079835,0.026864522488362408,0.0,0.0035687816228360345,0.028911941771362103,0.0,0.015178764091150983,0.007885933159854265,0.0018367563136534573,0.0,0.006500179240191062,0.009676877375241153,0.002891964579378059,0.004094860048928192,0.003096527292478748,0.0485538705059522,0.0028635571698268263,0.0,0.014059744896642462,0.0,0.0058716905304063045,0.003974644342036321,0.031425341599969056,0.00872980439580327,0.010280798262452158,0.003153127308379239,0.0,0.005635666104336536,0.004428659572435695,0.0,0.0031354265114225503,0.0026786587415452592,0.007624101797542543,0.01343101124266414,0.002536621344071485,0.0,0.007037061157105654,0.09992746597685814,0.0,0.011233642174400834,0.0,0.003330553154510936,0.014445424342380024,0.010770457086508497,0.002993153556244099,0.005293179560861339,0.0,0.0,0.020947022665886144,0.023121007204858362,0.0,0.01126284232244665,0.006193764776967007,0.0035163461362656984,0.0,0.00793004983206129,0.0,0.0,0.009918485978950571,0.003449521171915929,0.00888113902412489,0.004059683020967009,0.006604696048651463,0.012532695332279072,0.0,0.004842834348330915,0.008113419849446949,0.0,0.007918095071798399,0.00936570742641607,0.0,0.0,0.0,0.005345141676450726
80,0.0031192740211659297,0.017844506540125187,0.0035664183469330153,0.0012748958085326114,0.0,0.05714739587286447,0.027984714146199418,0.09618403058383512,0.014269595216387102,0.0,0.0,0.1025813713029413,0.004063004180022523,0.0025974571832596185,0.003408112699347865,0.01488612743084248,0.005873185295846314,0.0067924516070477425,0.004444441404921063,0.013506792116918357,0.012524042623344426,0.0043096377489794,0.0,0.0,0.008816348338253453,0.0,0.002261828710728523,0.027211132015681264,0.0020562759214413488,0.0033615366862225246,0.02451145546228015,0.0,0.013687817337813102,0.010497342115157468,0.002176805200846281,0.0,0.006193337164410132,0.0065407278355361365,0.0024586078161598444,0.003491589382880414,0.0031756101778968554,0.048084086959554954,0.0023057998660431884,0.003956658566515677,0.012998227597127045,0.0,0.006339867889394482,0.0019224124346568627,0.03199614251231375,0.0077015279565818134,0.010373547146335768,0.004729280723703714,0.0037381557100239723,0.0065754952487036365,0.003328649548674909,0.0,0.0032397096361024896,0.0021279951178975478,0.0075712977629520005,0.011751126955251033,0.002055881002928056,0.0039060006266553433,0.006157139574032246,0.10387162538041801,0.0,0.013648359319441502,0.0,0.002705338990340913,0.014967749675072374,0.00953368851961885,0.0,0.004632204595774781,0.0021432280023628617,0.0073172082373355275,0.018758369724961536,0.017556324908497446,0.0,0.01092724276464449,0.005643492538369381,0.0050874745961821,0.0,0.00565403185177291,0.0,0.0,0.004365939546191804,0.003856369343131855,0.010893193613471536,0.0029296249838588924,0.006803131027531298,0.01290786923478788,0.0,0.004053964487252667,0.007078060848570711,0.005699382368678201,0.0077823895799637235,0.009249737607329214,0.002624218483255835,0.0,0.0,0.0056329086409137585
90,0.004223289593191193,0.01714004927401001,0.0040370018654662,0.00244975218053309,0.0,0.05682883928571208,0.02971662035246662,0.09561341453602218,0.01363724965558215,0.0,0.0,0.10201139709427084,0.0035522647963547476,0.001353114136676759,0.003922980379280564,0.014758575657320801,0.005129956880997562,0.006659610402760001,0.003961611537595202,0.011347289715421736,0.012871199338669917,0.0038184660642929195,0.0,0.0,0.007943733218127077,0.0016364839445193408,0.002307473861220001,0.027210857994932478,0.002540031002980409,0.003697316892152939,0.02322209452396395,0.0,0.01131417155880398,0.010324844176088973,0.001428724725636603,0.0,0.00682688793906968,0.005057385844674808,0.0023885887744392615,0.004070957435515641,0.0027471898913718636,0.04732422459343919,0.0018653275558694635,0.003692684877086837,0.012110134009846058,0.0007177056380818429,0.005384415027849853,0.0017013075194927307,0.032401980371609275,0.007668762774682032,0.010999803899259104,0.005168780260935607,0.0051955039443733935,0.006508101677752999,0.0024812706996579976,0.0,0.0029457072283670025,0.002367886918881984,0.009071789794161384,0.0105251224056437,0.002119170171820622,0.00421771472138556,0.005328324187581503,0.10135633791830265,0.0003896093319693708,0.013928664467715722,0.001229975089489007,0.0031232764692165566,0.016271762617048272,0.009575894906445705,0.002315322127930137,0.003673220065581685,0.004094830547073467,0.0064125028035724105,0.020380919777462668,0.015870716403368488,2.1399497670488058e-05,0.011139025018649055,0.005595144578188683,0.004575320674324955,0.0,0.006042872759302062,0.0,0.0,0.005010701089434156,0.005114689961282613,0.01032248050457939,0.0021471775942913203,0.006511160045481353,0.012617228829211912,0.00046287023756865896,0.0038332466102471664,0.006181023877634954,0.0066341493580467726,0.008832352955114262,0.009131019480835762,0.0025557974522513183,0.0,0.0036619035531177384,0.0054422605896918596
100,0.004223289593191199,0.017140049274009618,0.004037001865466214,0.00244975218053328,0.0,0.05682883928571472,0.029716620352464362,0.09561341453602133,0.01363724965558236,0.0,0.0,0.10201139709427066,0.003552264796354795,0.0013531141366765825,0.003922980379280756,0.014758575657321391,0.00512995688099751,0.006659610402759981,0.003961611537594809,0.011347289715422149,0.01287119933866981,0.00381846606429319,0.0,0.0,0.007943733218127106,0.0016364839445198532,0.0023074738612201173,0.0272108579949325,0.0025400310029806594,0.00369731689215288,0.023222094523963736,0.0,0.011314171558804337,0.010324844176088895,0.001428724725636477,0.0,0.006826887939069655,0.005057385844674709,0.0023885887744393946,0.004070957435516168,0.00274718989137164,0.047324224593439206,0.001865327555869421,0.003692684877086533,0.012110134009845699,0.0007177056380820204,0.0053844150278497625,0.0017013075194928506,0.03240198037160881,0.007668762774682375,0.010999803899258956,0.005168780260935617,0.005195503944373446,0.006508101677753188,0.0024812706996577287,0.0,0.0029457072283667726,0.002367886918882009,0.00907178979416197,0.01052512240564354,0.0021191701718206806,0.004217714721385587,0.0053283241875811535,0.10135633791830281,0.0003896093319693509,0.013928664467715133,0.0012299750894892813,0.003123276469216594,0.016271762617048494,0.009575894906446288,0.0023153221279308086,0.003673220065581601,0.004094830547073483,0.006412502803571148,0.0203809197774629,0.01587071640336826,2.13994976704733e-05,0.011139025018648916,0.005595144578188412,0.004575320674325092,0.0,0.006042872759302193,0.0,0.0,0.0050107010894341044,0.005114689961282917,0.010322480504579432,0.0021471775942910557,0.0065111600454812344,0.012617228829211883,0.0004628702375685327,0.003833246610247109,0.006181023877634883,0.006634149358046763,0.008832352955114281,0.009131019480835636,0.00255579745225138,0.0,0.0036619035531176695,0.005442260589691829
